продукт;ккал;белки;жиры;углеводы
абрикосы;46;0,9;0;10,5
айва;38;0,6;0;8,9
алыча;34;0,2;0;7,4
ананас;48;0,4;0;11,8
бананы;91;1,5;0;22,4
вишня;49;0,8;0;11,3
гранат;52;0,9;0;11,8
инжир;56;0,7;0;13,9
кизил;45;1,0;0;9,7
персики;44;0,9;0;10,4
рябина садовая;58;1,4;0;12,5
рябина черноплодная;54;1,5;0;12,0
слива садовая;43;0,8;0;9,9
финики;281;2,5;0;72,1
хурма;62;0,5;0;15,9
черешня;52;1,1;0;12,3
шелковица;53;0,7;0;12,7
яблоки;46;0,4;0;11,3
апельсин;38;0,9;0;8,4
грейпфрут;35;0,9;0;7,3
лимон;31;0,9;0;3,6
мандарин;38;0,8;0;8,6
брусника;40;0,7;0;8,6
виноград;69;0,4;0;17,5
голубика;37;1,0;0;7,7
ежевика;33;2,0;0;5,3
земляника;41;1,8;0;8,1
клюква;28;0,5;0;4,8
крыжовник;44;0,7;0;9,9
малина;41;0,8;0;9,0
морошка;31;0,8;0;6,8
облепиха;30;0,9;0;5,5
смородина белая;39;0,3;0;8,7
смородина красная;38;0,6;0;8,0
смородина черная;40;1,0;0;8,0
черника;40;1,1;0;8,6
шиповник свежий;101;1,6;0;24,0
шиповник сушеный;253;4,0;0;60,0
вафли с фруктовыми начинками;342;3,2;2,8;80,1
вафли с жиросодержащими начинками;530;3,4;30,2;64,7
пирожное слоеное с кремом;544;5,4;38,6;46,4
пирожное слоеное с яблоком;454;5,7;25,6;52,7
пирожное бисквитное с фруктовой начинкой;344;4,7;9,3;84,4
пряники;336;4,8;2,8;77,7
торт бисквитный с фруктовой начинкой;386;4,7;20,0;49,8
торт миндальный;524;6,6;35,8;46,8
мед;308;0,8;0;80,3
драже фруктовое;384;3,7;10,2;73,1
зефир;299;0,8;0;78,3
ирис;387;3,3;7,5;81,8
конфеты,глазированные шоколадом;396;2,9;10,7;76,6
карамель;296;0;0,1;77,7
мармелад;296;0;0,1;77,7
пастила;305;0,5;0;80,4
сахар;374;0,3;0;99,5
халва тахинная;510;12,7;29,9;50,6
халва подсолнечная;516;11,6;29,7;54,0
шоколад темный;540;5,4;35,3;52,6
шоколад молочный;547;6,9;35,7;52,4
бобы;58;6,0;0,1;8,3
горох лущенный;323;23,0;1,6;57,7
горох цельный;303;23,0;1,2;53,3
соя;395;34,9;17,3;26,5
фасоль;309;22,3;1,7;54,5
чечевица;310;24,8;1,1;53,7
завтрак туриста(говядина);176;20,5;10,4;0
завтрак туриста(свинина);206;16,9;15,4;0
говядина тушеная;232;16,8;18,3;0
колбасный фарш;213;15,2;15,7;2,8
свинина тушеная;349;14,9;32,2;0
грудинка сырокопченая;632;7,6;66,8;0
корейка сырокопченая;467;10,5;47,2;0
ветчина;279;22,6;20,9;0
вареная колбаса Диабетическая;254;12,1;22,8;0
вареная колбаса Диетическая;170;12,1;13,5;0
вареная колбаса Докторская;260;13,7;22,8;0
вареная колбаса Любительская;301;12,2;28;0
вареная колбаса Молочная;252;11,7;22,8;0
вареная колбаса Отдельная;228;10,1;20,1;1,8
вареная колбаса Телячья;316;12,5;29,6;0
сардельки Свиные;332;10,1;31,6;1,9
сосиски Молочные;277;12,3;25,3;0
сосиски Русские;220;12,0;19,1;0
сосиски Свиные;324;11,8;30,8;0
варено-копченая Любительская;420;17,3;39,0;0
варено-копченая Сервелат;360;28,2;27,5;0
полукопченая Краковская;466;16,2;44,6;0
полукопченая Минская;259;23;17,4;2,7
полукопченая Полтавская;417;16,4;39,0;0
полукопченая Украинская;376;16,5;34,4;0
сырокопченая Любительская;514;20,9;47,8;0
сырокопченая  Московская;473;24,8;41,5;0
яйцо куриное ;157;12,7;11,5;0,7
яичный порошок;542;45,0;37,3;7,1
сухой белок;336;73,3;1,8;7,0
сухой желток;623;34,2;52,2;4,4
яйцо перепелиное;168;11,9;13,1;0,6
бычки;145;12,8;8,1;5,2
горбуша;147;21,0;7,0;0
камбала;88;16,1;2,6;0
карась;87;17,7;1,8;0
карп;96;16,0;3,6;0
кета;138;22,0;5,6;0
корюшка;91;15,5;3,2;0
ледяная;75;15,5;1,4;0
лещ;105;17,1;4,1;0
семга;219;20,8;15,1;0
макрурус;60;13,2;0,8;0
минога;166;14,7;11,9;0
минтай;70;15,9;0,7;0
мойва;157;13,4;11,5;0
навага;73;16,1;1,0;0
налим;81;18,8;0,6;0
нототения мраморная;156;14,8;10,7;0
окунь морской;117;17,6;5,2;0
окунь речной;82;18,5;0,9;0
осетр;164;16,4;10,9;0
палтус;103;18,9;3,0;0
путассу;72;16,1;0,9;0
рыба-сабля;110;20,3;3,2;0
рыбец каспийский;98;19,2;2,4;0
сазан;121;18,4;5,3;0
сайра крупная;262;18,6;20,8;0
сайра мелкая;143;20,4;0,8;0
салака;121;17,3;5,6;0
сельдь;242;17,7;19,5;0
сиг;144;19,0;7,5;0
скумбрия;153;18,0;9,0;0
сом;144;16,8;8,5;0
ставрида;119;18,5;5,0;0
стерлядь;320;17,0;6,1;0
судак;83;19,0;0,8;0
треска;75;17,5;0,6;0
тунец;96;22,7;0,7;0
угольная рыба;158;13,2;11,6;0
угорь морской;94;19,1;1,9;0
угорь ;333;14,5;30,5;0
хек;86;16,6;2,2;0
щука;82;18,8;0,7;0
язь;117;18,2;0,3;0
креветка дальневосточная;134;28,7;1,2;0
печень трески;613;4,2;65,7;0
кальмар;75;18,0;0,3;0
краб;69;16,0;0,5;0
креветка ;83;18,0;0,8;0
морская капуста;5;0,9;0,2;3,0
"паста""океан""";137;18,9;6,8;0
трепанг;35;7,3;0,6;0
баклажаны;24;0,6;0,1;5,5
брюква;37;1,2;0,1;8,1
горошек зеленый;72;5,0;0,2;13,3
кабачки;27;0,6;0,3;5,7
капуста белокочанная;28;1,8;0;5,4
капуста краснокочанная;31;1,8;0;6,1
капуста цветная;29;2,5;0;4,9
картофель;83;2,0;0,1;19,7
лук зеленый (перо);22;1,3;0;4,3
лук порей;40;3.0;0;7,3
лук репчатый;43;1,7;0;9,5
морковь красная;33;1,3;0,1;7,0
огурцы грунтовые;15;0,8;0;3,0
огурцы парниковые;10;0,7;0;1,8
перец зеленый сладкий;23;1,3;0;4,7
перец красный сладкий;27;1,3;0;5,7
петрушка(зелень);45;3,7;0;8,1
петрушка(корень);47;1,5;0;11
ревень(черешковый);16;0,7;0;2,9
редис;20;1,2;0;4,1
редька;34;1,9;0;7,0
репа;28;1,5;0;5,9
салат;14;1,5;0;2,2
свекла;48;1,7;0;10,8
томаты грунтовые;19;0,6;0;4,2
томаты парниковые;14;0,6;0;2,9
зеленая фасоль(стручковая);32;4,0;0;4,3
хрен;71;2,5;0;16,3
черемша;34;2,4;0;6,5
чеснок;106;6,5;0;21,2
шпинат;21;2,9;0;2,3
щавель;28;1,5;0;5,3
урюк;278;5,0;0;67,5
курага;272;5,2;0;65,9
изюм с косточкой;276;1,8;0;70,9
изюм кишмиш;279;2,3;0;71,2
вишня;292;1,5;0;73,0
груша;246;2,3;0;62,1
персики;275;3,0;0;68,5
чернослив;264;2,3;0;65,6
яблоки;273;3,2;0;68,0
гречневая продел;326;9,5;1,9;72,2
пшеничная "Полтавская" крупа;325;12,7;1,1;70,6
овсяная крупа;345;11,9;5,8;65,4
перловая крупа;324;9,3;1,1;73,7
пшено крупа;334;12,0;2,9;69,3
рисовая крупа;323;7,0;0,6;73,7
манная крупа;326;11,3;0,7;73,3
толокно крупа;357;12,2;5,8;68,3
ячневая крупа;322;10,4;1,3;71,7
геркулес;355;13,1;6,2;65,7
кукурузная крупа;325;8,3;1,2;75,0
хлеб ржаной;214;4,7;0.,7;49,8
хлеб пшеничный из муки I сорта;254;7,7;2,4;53,4
сдобная выпечка;297;7,6;4,5;60,0
баранки;312;10,4;1,3;68,7
сушки;330;11,0;1,3;73,0
сухари пшеничные;331;11,2;1,4;72,4
сухари сливочные;397;8,5;10,6;71,3
мука пшеничная высшего сорта;327;10,3;0,9;74,2
мука пшеничная 1 сорта;329;10,6;1,3;73,2
мука пшеничная 2 сорта;328;11,7;1,8;70,8
мука ржаная;326;6,9;1,1;76,9
белые свежие;25;3,2;0,7;1,6
белые сушеные;209;27,6;6,8;10,0
подберезовики свежие;31;2,3;0,9;3,7
подосиновики свежие;31;3,3;0,5;3,4
сыроежки свежие;17;1,7;0,3;1,4
жир бараний или говяжий топленый;897;0;99,7;0
шпик свиной без шкурки;816;1,4;92,8;0
маргарин молочный;746;0,3;82,3;1,0
маргарин бутербродный;744;0,5;82,0;1,2
майонез;627;3,1;67,0;2,6
масло растительное;899;0;99,9;0
